numSamples, numHistograms, histSize, k, branching, meanTime, stddevTime
500, 56, 41, 2, 2, 233.99, 19.2125
500, 56, 41, 4, 4, 273.96, 36.4556
500, 56, 41, 8, 8, 384.09, 73.2387
500, 56, 41, 16, 16, 536.73, 123.949
500, 56, 41, 32, 32, 709.83, 139.539
500, 56, 41, 64, 64, 1078.62, 201.028
1000, 56, 41, 2, 2, 610.11, 47.8434
1000, 56, 41, 4, 4, 632.8, 77.053
1000, 56, 41, 8, 8, 968.47, 188.902
1000, 56, 41, 16, 16, 1496.45, 337.184
1000, 56, 41, 32, 32, 2277.1, 497.928
1000, 56, 41, 64, 64, 3140.26, 690.97
2500, 56, 41, 2, 2, 2024.33, 131.961
2500, 56, 41, 4, 4, 2499.66, 310.713
2500, 56, 41, 8, 8, 3566.26, 666.931
2500, 56, 41, 16, 16, 6098.67, 1716.52
2500, 56, 41, 32, 32, 9958.43, 2717.42
2500, 56, 41, 64, 64, 14363, 3371.13
5000, 56, 41, 2, 2, 4533.25, 237.784
5000, 56, 41, 4, 4, 5275.85, 836.288
5000, 56, 41, 8, 8, 9626.98, 2391.69
5000, 56, 41, 16, 16, 18249.7, 5524.81
5000, 56, 41, 32, 32, 27339.1, 7598.85
5000, 56, 41, 64, 64, 41483, 10256.4
7500, 56, 41, 2, 2, 8039.03, 431.665
7500, 56, 41, 4, 4, 10163.4, 1256.27
7500, 56, 41, 8, 8, 17279.8, 3275.06
7500, 56, 41, 16, 16, 29769.9, 6477.69
7500, 56, 41, 32, 32, 46567.2, 9954.19
7500, 56, 41, 64, 64, 75792.5, 18018.8
10000, 56, 41, 2, 2, 10449, 669.919
10000, 56, 41, 4, 4, 11924.5, 1290.76
10000, 56, 41, 8, 8, 22437, 4152.08
10000, 56, 41, 16, 16, 38468.5, 8197.6
10000, 56, 41, 32, 32, 70372.9, 14320.7
10000, 56, 41, 64, 64, 120885, 26397.1
